Day,Year,PM2.5,Predicted_PM2.5
2024-01-19,3.7574573782352467,7.05,4.56
2024-01-20,3.7574573782352467,6.41,7.4775
2024-01-21,3.7574573782352467,5.41,4.56
2024-01-22,3.7574573782352467,5.77,6.043333333333333
2024-01-23,3.7574573782352467,6.36,4.56
2024-01-24,3.7574573782352467,4.59,4.56
2024-01-25,3.7574573782352467,4.41,6.043333333333333
2024-01-26,3.7574573782352467,5.14,5.466666666666666
2024-01-27,3.7574573782352467,6.14,5.466666666666666
2024-01-28,3.7574573782352467,6.73,4.56
2024-01-29,3.7574573782352467,5.73,4.56
2024-01-30,3.7574573782352467,7.27,5.466666666666666
2024-01-31,3.7574573782352467,7.27,7.0920000000000005
2024-02-01,3.7574573782352467,4.91,5.09
2024-02-02,3.7574573782352467,4.05,4.99
2024-02-03,3.7574573782352467,4.18,5.256666666666667
2024-02-04,3.7574573782352467,4.36,4.695
2024-02-05,3.7574573782352467,5.05,5.0675
2024-02-06,3.7574573782352467,4.55,5.9325
2024-02-07,3.7574573782352467,4.27,5.5
2024-02-08,3.7574573782352467,4.05,4.695
2024-02-09,3.7574573782352467,3.95,5.256666666666667
2024-02-10,3.7574573782352467,5.14,3.6999999999999997
2024-02-11,3.7574573782352467,5.59,4.9366666666666665
2024-02-12,3.7574573782352467,6.86,4.9366666666666665
2024-02-13,3.7574573782352467,7.09,5.68
2024-02-14,3.7574573782352467,7.5,5.68
2024-02-15,3.7574573782352467,7.0,6.125
2024-02-16,3.7574573782352467,4.91,5.68
2024-02-17,3.7574573782352467,4.18,4.944
2024-02-18,3.7574573782352467,3.59,4.863333333333333
2024-02-19,3.7574573782352467,3.41,5.09
2024-02-20,3.7574573782352467,2.86,4.3275
2024-02-21,3.7574573782352467,3.14,2.615
2024-02-22,3.7574573782352467,3.23,3.063333333333333
2024-02-23,3.7574573782352467,3.27,4.3275
2024-02-24,3.7574573782352467,3.41,4.3275
2024-02-25,3.7574573782352467,3.41,4.3275
2024-02-26,3.7574573782352467,4.27,4.3275
