Day,Year,Month_x,PM2.5,TempAVG
22/12/2020,2020,12,4,24.9125
23/12/2020,2020,12,5.27,25.13478261
24/12/2020,2020,12,5.82,27.68333333
25/12/2020,2020,12,6.27,27.82083333
26/12/2020,2020,12,5.45,28.93333333
27/12/2020,2020,12,4.82,30.10416667
28/12/2020,2020,12,4.59,30.29583333
29/12/2020,2020,12,3.68,30.39166667
30/12/2020,2020,12,4.77,29.50416667
31/12/2020,2020,12,4.45,26.01666667
1/1/2021,2021,1,3.45,24.42083333
2/1/2021,2021,1,3.73,24.8375
3/1/2021,2021,1,4.23,26.93333333
4/1/2021,2021,1,5.91,27.57083333
5/1/2021,2021,1,5.41,28.74583333
6/1/2021,2021,1,4.91,29.9625
7/1/2021,2021,1,5.27,29.54583333
8/1/2021,2021,1,4.55,28.42083333
9/1/2021,2021,1,3.95,25.9
10/1/2021,2021,1,3.36,26.1875
11/1/2021,2021,1,4.05,25.79166667
12/1/2021,2021,1,4.41,22.62916667
13/1/2021,2021,1,4.36,22.5125
14/1/2021,2021,1,6.5,24.62916667
15/1/2021,2021,1,7.64,25.49166667
16/1/2021,2021,1,8.18,26.50833333
17/1/2021,2021,1,7.59,27.23043478
18/1/2021,2021,1,6.09,25.24166667
19/1/2021,2021,1,4.59,23.57826087
20/1/2021,2021,1,6.77,24.9875
21/1/2021,2021,1,7.68,25.675
22/1/2021,2021,1,7.73,26.66666667
23/1/2021,2021,1,8.5,27.83043478
24/1/2021,2021,1,7.5,28.60833333
25/1/2021,2021,1,4.77,28.75833333
26/1/2021,2021,1,4.09,29.44583333
27/1/2021,2021,1,4.32,29.81666667
28/1/2021,2021,1,5,30.24583333
29/1/2021,2021,1,5,28.4375
30/1/2021,2021,1,5.45,27.9375
31/1/2021,2021,1,5.95,27.8125
1/2/2021,2021,2,6.27,29.09166667
2/2/2021,2021,2,7.23,29.84583333
3/2/2021,2021,2,6.77,29.5
4/2/2021,2021,2,6.82,28.2
5/2/2021,2021,2,6.45,28.71666667
6/2/2021,2021,2,6.41,28.7375
7/2/2021,2021,2,6.32,29.525
8/2/2021,2021,2,7.27,29.2625
9/2/2021,2021,2,5.05,28.4125
10/2/2021,2021,2,5.18,28.60833333
11/2/2021,2021,2,4.86,28.68333333
12/2/2021,2021,2,4.45,28.6125
13/2/2021,2021,2,5.59,28.92083333
14/2/2021,2021,2,5.5,28.76521739
15/2/2021,2021,2,4.32,28.625
16/2/2021,2021,2,4.23,28.90869565
17/2/2021,2021,2,4.23,29.6125
18/2/2021,2021,2,4.86,28.7
19/2/2021,2021,2,5.95,27.65833333
20/2/2021,2021,2,5.5,26.76956522
21/2/2021,2021,2,5.82,28.54583333
22/2/2021,2021,2,7,28.6125
23/2/2021,2021,2,6.68,28.89565217
24/2/2021,2021,2,5.68,29.27916667
25/2/2021,2021,2,5.86,30.54347826
